key,?context,?plural,_locations,en,zh_CN,zh_TW,ja,ko,es,pt_BR,fr,de,ru,it,pl,tr
Directories,,,"res://addons/gdsql/gdsql_workbench.gd:82
res://addons/gdsql/gxml/editor/xml_editor_window.gd:42",Directories,目录,資料夾,ディレクトリ,디렉터리,Directorios,Diretórios,Répertoires,Verzeichnisse,Каталоги,Cartelle,Katalogi,Dizinler
Open,,,"res://addons/gdsql/gdsql_workbench.gd:113
res://addons/gdsql/gdsql_workbench.gd:114
res://addons/gdsql/gxml/editor/xml_editor_panel.tscn
res://addons/gdsql/gxml/editor/xml_editor_window.gd:82
res://addons/gdsql/gxml/editor/xml_editor_window.gd:83",Open,打开,開啟,開く,열기,Abrir,Abrir,Ouvrir,Öffnen,Открыть,Apri,Otwórz,Aç
File,,,res://addons/gdsql/index.tscn,File,文件,檔案,ファイル,파일,Archivo,Arquivo,Fichier,Datei,Файл,File,Plik,Dosya
SCHEMAS,,,res://addons/gdsql/index.tscn,SCHEMAS,数据库,資料庫,データベース,데이터베이스,Base de datos,Banco de dados,Base de données,Datenbank,База данных,Database,Baza danych,Veritabanı
Refresh All,,,"res://addons/gdsql/index.tscn
res://addons/gdsql/tree_databases.tscn",Refresh All,全部刷新,全部重新整理,すべて更新,전체 새로 고침,Actualizar todo,Atualizar tudo,Tout actualiser,Aktualisieren,Обновить всё,Aggiorna tutto,Odśwież wszystko,Tümünü Yenile
Welcome,,,res://addons/gdsql/index.tscn,Welcome,欢迎,歡迎,ようこそ,환영,Bienvenido,Bem-vindo,Bienvenue,Willkommen,Добро пожаловать,Benvenuto,Witamy,Hoş Geldiniz
日志,,,res://addons/gdsql/index.tscn,Log,日志,日誌,ログ,로그,Registro,Log,Journal,Protokoll,Журнал,Registro,Dziennik,Günlük
Clear,,,res://addons/gdsql/index.tscn,Clear,清除,清除,クリア,지우기,Limpiar,Limpar,Effacer,Löschen,Очистить,Cancella,Wyczyść,Temizle
Manage object properties.,,,"res://addons/gdsql/table.gd:1880
res://addons/gdsql/table.gd:2056
res://addons/gdsql/table.gd:2146",Manage object properties.,管理对象属性。,管理物件屬性。,オブジェクトプロパティを管理する。,개체 속성 관리.,Gestionar propiedades de objeto.,Gerenciar propriedades do objeto.,Gérer les propriétés de l'objet.,Objekteigenschaften verwalten.,Управлять свойствами объекта.,Gestisci proprietà oggetto.,Zarządzaj właściwościami obiektu.,Nesne özelliklerini yönet.
%s (%d Selected),,,res://addons/gdsql/table.gd:2066,%s (%d Selected),%s（已选择 %d 项）,%s（%d 個已選取）,%s（%d件選択済み）,%s（%d개 선택됨）,%s (%d seleccionados),%s (%d selecionados),%s (%d sélectionnés),%s (%d ausgewählt),%s (%d выбрано),%s (%d selezionati),%s (%d wybranych),%s (%d seçildi)
Copy Field,,,res://addons/gdsql/table.tscn,Copy Field,复制字段,複製欄位,フィールドをコピー,필드 복사,Copiar campo,Copiar campo,Copier le champ,Feld kopieren,Копировать поле,Copia campo,Kopiuj pole,Alanı Kopyala
Copy Line,,,res://addons/gdsql/table.tscn,Copy Line,复制行,複製列,行をコピー,행 복사,Copiar fila,Copiar linha,Copier la ligne,Zeile kopieren,Копировать строку,Copia riga,Kopiuj wiersz,Satırı Kopyala
Delete,,,res://addons/gdsql/table.tscn,Delete,删除,刪除,削除,삭제,Eliminar,Excluir,Supprimer,Entfernen,Удалить,Elimina,Usuń,Sil
new_schema,,,res://addons/gdsql/tab_container.gd:153,new_schema,新建数据库,新增資料庫,新規データベース,새 데이터베이스,Nueva base de datos,Novo banco de dados,Nouvelle base de données,Neue Datenbank,Новая база данных,Nuovo database,Nowa baza danych,Yeni Veritabanı
alter_schema,,,res://addons/gdsql/tab_container.gd:163,alter_schema,修改数据库,修改資料庫,データベース編集,데이터베이스 수정,Modificar base de datos,Alterar banco de dados,Modifier la base de données,Datenbank bearbeiten,Изменить базу данных,Modifica database,Edytuj bazę danych,Veritabanını Düzenle
new_table,,,res://addons/gdsql/tab_container.gd:181,new_table,新建数据表,新增資料表,新規テーブル,새 테이블,Nueva tabla,Nova tabela,Nouvelle table,Neue Tabelle,Новая таблица,Nuova tabella,Nowa tabela,Yeni Tablo
alter_table,,,res://addons/gdsql/tab_container.gd:199,alter_table,修改数据表,修改資料表,テーブル編集,테이블 수정,Modificar tabla,Alterar tabela,Modifier la table,Tabelle bearbeiten,Изменить таблицу,Modifica tabella,Edytuj tabelę,Tabloyu Düzenle
Table Data Export,,,res://addons/gdsql/tab_container.gd:236,Table Data Export,数据表导出,資料表匯出,テーブルデータ出力,테이블 데이터 내보내기,Exportar datos de tabla,Exportar dados da tabela,Exporter les données de la table,Tabellendaten exportieren,Экспорт данных таблицы,Esporta dati tabella,Eksportuj dane tabeli,Tablo Verilerini Dışa Aktar
Table Data Import,,,res://addons/gdsql/tab_container.gd:244,Table Data Import,数据表导入,資料表匯入,テーブルデータ取り込み,테이블 데이터 가져오기,Importar datos de tabla,Importar dados da tabela,Importer les données de la table,Tabellendaten importieren,Импорт данных таблицы,Importa dati tabella,Importuj dane tabeli,Tablo Verilerini İçe Aktar
Select Data Export,,,res://addons/gdsql/tab_container.gd:252,Select Data Export,选择数据导出,選取資料匯出,選択データ出力,선택 데이터 내보내기,Exportar datos seleccionados,Exportar dados selecionados,Exporter les données sélectionnées,Ausgewählte Daten exportieren,Экспорт выбранных данных,Esporta dati selezionati,Eksportuj wybrane dane,Seçili Verileri Dışa Aktar
Clear cache,,,"res://addons/gdsql/tree_databases.gd:73
res://addons/gdsql/tree_databases.gd:81",Clear cache,清除缓存,清除快取,キャッシュを削除,캐시 지우기,Limpiar caché,Limpar cache,Vider le cache,Cache leeren,Очистить кеш,Svuota cache,Wyczyść pamięć podręczną,Önbelleği Temizle
Open in External Program,,,"res://addons/gdsql/tree_databases.gd:83
res://addons/gdsql/tree_databases.tscn",Open in External Program,使用外部程序打开,以外部程式開啟,外部プログラムで開く,외부 프로그램으로 열기,Abrir con programa externo,Abrir com programa externo,Ouvrir avec un programme externe,Mit externem Programm öffnen,Открыть в сторонней программе,Apri con programma esterno,Otwórz za pomocą zewnętrznego programu,Harici Programla Aç
Show in File Manager,,,"res://addons/gdsql/tree_databases.gd:85
res://addons/gdsql/tree_databases.tscn
res://addons/gdsql/tabs/table_inspector.tscn",Show in File Manager,在文件管理器中显示,在檔案總管顯示,ファイルマネージャーで表示,파일 관리자에서 표시,Mostrar en explorador de archivos,Exibir no Gerenciador de Arquivos,Afficher dans l'explorateur de fichiers,Im Dateimanager anzeigen,Показать в проводнике,Mostra in gestione file,Pokaż w menedżerze plików,Dosya Yöneticisinde Göster
